id,product_name,category,rating,review,date,helpful_votes,verified_purchase
36,Gym Gloves,Sports,1,Complete rubbish. Stitching came apart after one gym session. Absolute waste of money.,2024-02-20,35,Yes
37,Rice Cooker,Kitchen,5,Perfect rice every single time! So easy to use and clean. Best kitchen appliance I have purchased!,2024-02-21,81,Yes
38,Laptop Bag,Travel,4,Sturdy and well made bag. Fits laptop perfectly with room for accessories. Looks professional.,2024-02-22,46,Yes
39,Mechanical Keyboard,Electronics,5,This keyboard is absolutely fantastic! Typing feel is incredible and the RGB lighting is beautiful!,2024-02-23,97,Yes
40,Extension Cord,Home,2,Dangerous product. Gets extremely hot during use. Fire hazard. Returning immediately for safety.,2024-02-24,59,Yes
41,Shampoo,Beauty,4,Really good shampoo. Hair feels clean and soft after washing. Pleasant smell. Will buy again.,2024-02-25,31,Yes
42,Resistance Bands,Sports,5,Excellent quality bands! Great variety of resistance levels. Perfect for home workouts. Love them!,2024-02-26,68,Yes
43,Desk Organizer,Home,3,It is fine. Holds things together. Nothing exciting but serves the purpose adequately.,2024-02-27,7,No
44,Smart Scale,Health,5,Absolutely brilliant scale! Tracks so many health metrics. App integration is seamless. Highly recommend!,2024-02-28,85,Yes
45,Cooking Gloves,Kitchen,1,Extremely poor heat protection. Got burned while using these. Dangerous and useless product.,2024-03-01,48,Yes
46,Travel Pillow,Travel,4,Very comfortable neck pillow for flights. Good support. Compact and easy to pack. Happy purchase.,2024-03-02,34,Yes
47,Drawing Tablet,Electronics,5,This drawing tablet has transformed my digital art workflow! Incredible sensitivity and precision!,2024-03-03,79,Yes
48,Shower Head,Home,2,Water pressure is extremely weak. Installation was confusing. Not what was advertised at all.,2024-03-04,26,Yes
49,Protein Bar,Health,4,Tastes surprisingly good for a protein bar! Good macros and filling. Will definitely order again.,2024-03-05,43,Yes
50,Wireless Keyboard,Electronics,5,Superb wireless keyboard! Connects instantly and battery lasts for months. Highly recommend!,2024-03-06,91,Yes
